word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
164,She drew a picture of her cat.,Narysowała obrazek swojego kota.,He drew his gun and aimed it at the intruder.,"To produce a picture or image by making lines or marks on paper, or to pull or drag something towards oneself. Can be used to describe art, engineering, or fishing."
165,The hatred between the two rival gangs was intense.,Nienawiść między dwoma rywalizującymi gangami była silna.,His hatred of injustice inspired him to become a lawyer.,"Intense dislike or animosity towards someone or something, often accompanied by feelings of anger or resentment. Can be used to describe conflicts, politics, or personal relationships."
166,She presided over the meeting as the chairperson.,Przewodniczyła spotkaniu jako przewodnicząca.,The judge presided over the trial and ensured that the rules were followed.,"To be in charge of a meeting, ceremony, or gathering, often guiding or directing its proceedings. Can be used to describe leadership, diplomacy, or governance."
167,Her predecessor as CEO had left the company in a financial mess.,Jej poprzednik na stanowisku dyrektora generalnego zostawił firmę w kłopotach finansowych.,The new mayor promised to continue the good work of her predecessor.,"A person or thing that precedes or comes before another in time, order, or rank. Can be used to describe history, succession, or innovation."
168,He was known for exaggerating his accomplishments.,Był znany z przesadzania ze swoimi osiągnięciami.,She accused him of exaggerating the risks associated with the new project.,"To represent something as being greater or more important than it really is, often for the sake of emphasis or humor. Can be used to describe storytelling, advertising, or personal anecdotes."
169,The music was composed by a famous composer.,Muzykę skomponował znany kompozytor.,The letter was carefully composed to convey the right message.,"Having one's feelings and emotions under control, often showing calmness or composure in difficult situations. Can be used to describe music, literature, or personal demeanor."
170,We need to utilize our resources more effectively.,Musimy lepiej wykorzystać nasze zasoby.,The new system will allow us to utilize our time more efficiently.,"To make practical or effective use of something, often to achieve a particular goal or objective. Can be used to describe technology, resources, or skills."
171,The president will convene a meeting of the council next week.,Prezydent zwoła zebranie rady w przyszłym tygodniu.,The committee was convened to investigate the cause of the accident.,"To bring people or things together for a specific purpose or activity, often in a formal or organized manner. Can be used to describe meetings, conferences, or rallies."
172,The view from the top of the mountain was absolutely splendid.,Widok z wierzchołka góry był absolutnie wspaniały.,She looked absolutely splendid in her new dress.,"Excellent, magnificent, or very impressive, often causing admiration or awe. Can be used to describe events, performances, or scenery."
173,She held the reins of the horse tightly.,Trzymała ciasno wodze konia.,The government had to rein in spending to avoid a budget crisis.,"A strap or rope attached to a horse's bridle for steering and stopping, or to control or limit someone's actions or behavior. Can be used to describe horsemanship, leadership, or discipline."
174,He was solely responsible for the mistake.,On był wyłącznie odpowiedzialny za błąd.,The decision was based solely on the evidence presented at the trial.,"Only or exclusively, without any other person or thing being involved. Can be used to express limitation, restriction, or emphasis."
175,The children were squabbling over who got to play with the toy.,"Dzieci kłóciły się o to, kto będzie się bawił zabawką.",The politicians were squabbling over the details of the new policy.,"A noisy or petty argument or disagreement, often over a trivial matter. Can be used to describe personal relationships, politics, or legal disputes."
176,Our opinions differ on the best way to solve the problem.,Nasze opinie różnią się w kwestii najlepszego sposobu rozwiązania problemu.,The two candidates differ significantly on the issue of healthcare reform.,"To be unlike or dissimilar, often in opinion, belief, or appearance. Can be used to describe diversity, individuality, or conflict."
177,The newspaper was sued for publishing falsehoods about the politician.,Gazeta została pozwana za publikowanie fałszów na temat polityka.,He was accused of spreading falsehoods about his opponent during the campaign.,"A statement or action that is untrue or intended to deceive, often causing harm or damage. Can be used to describe propaganda, misinformation, or perjury."
178,I assume you will be coming to the party tonight.,"Zakładam, że przyjdziesz na imprezę dziś wieczorem.","He assumed that she knew how to operate the machinery, but he was mistaken","To suppose or take for granted, often without sufficient evidence or justification. Can be used to describe assumptions, hypotheses, or prejudices."
179,I got caught in the rain and my clothes were soaked.,Złapałem się w deszcz i moje ubrania były przemoczone.,"After the storm, the ground was soaked and muddy.","Completely wet, often due to being immersed in liquid or exposed to heavy rain. Can be used to describe clothing, hair, or buildings."
